cntyvtd,total_votes,dem_votes,rep_votes
550113,0,0,0
550117,0,0,0
550201,531,211,297
550202,599,232,347
550203,558,184,357
550204,678,219,404
550205,177,44,127
550206,469,201,250
550305,235,101,127
550306,187,96,79
550307,0,0,0
550404,642,336,258
550405,542,223,292
550410,0,0,0
570001,211,162,44
570002,437,288,122
570003,52,47,5
570004,236,111,114
570005,111,35,70
570006,245,88,146
570007,324,197,108
570008,230,168,55
570009,39,25,13
570010,76,30,42
570011,213,73,125
570012,726,248,430
570013,16,6,9
570014,85,47,36
570015,100,51,43
570016,598,192,367
570017,451,174,259
570018,224,81,127
570019,296,76,202
570020,39,24,12
570021,89,27,55
570022,216,83,128
570023,138,38,94
570024,661,190,430
570025,569,113,430
70001,1214,321,850
70002,1830,698,1062
70003,2669,651,1927
70004,2320,549,1665
7001A,767,215,524
7004A,690,157,517
