cntyvtd,total_votes,dem_votes,rep_votes
1770001,1360,373,941
1770002,821,327,476
1770003,730,229,476
1770007,219,33,179
1770008,179,33,141
1770009,539,251,266
1770011,140,25,113
1770012,123,24,93
211003,2890,1101,1636
212007,1130,326,742
212008,535,177,331
213012,482,140,307
213013,811,306,449
213014,1162,532,539
213015,1129,603,453
213016,1393,571,720
2390001,1008,316,643
2390002,1215,267,896
2390003,897,215,639
2390004,200,35,156
2390005,358,68,275
2390006,333,109,206
2390007,57,11,45
2390008,350,70,258
2390009,299,44,246
2850001,629,116,487
2850002,859,214,632
2850007,141,29,112
2850008,482,80,390
2850009,754,193,542
2850011,193,39,143
2850012,216,51,154
2850015,122,35,86
2850016,270,38,212
2850017,186,25,156
2850019,225,42,176
2850020,71,20,49
2850023,772,171,572
2850026,138,56,75
2850027,139,24,112
2850029,720,194,487
2850030,982,191,719
2850031,739,135,578
2850032,203,30,167
3210002,422,105,297
3210004,697,185,491
3210005,1070,392,654
3210006,715,222,474
3210007,92,18,71
3210008,508,170,319
3210009,135,59,73
3210010,237,49,178
3210012,147,34,103
3210013,285,148,132
321001A,1551,393,1106
321001B,1845,628,1144
321001C,591,443,133
321001D,607,348,239
321001E,820,411,384
321001F,385,179,197
321003A,945,403,515
321003B,444,106,323
3550001,525,235,272
3550002,1239,555,628
3550003,2029,805,1175
3550004,1236,766,450
3550005,945,333,570
3550006,1527,499,957
3550007,280,217,53
3550008,1671,738,860
3550009,1027,340,657
3550010,621,148,451
3550011,314,164,139
3550012,523,350,165
3550013,529,462,64
3550014,200,65,132
3550015,360,155,190
3550016,158,56,97
3550017,1351,691,609
3550018,1251,485,686
3550019,1925,513,1306
3550020,1184,795,357
3550021,199,64,128
3550022,179,86,90
3550023,1191,239,916
3550024,242,183,54
3550025,181,49,127
3550026,2261,712,1493
3550027,332,215,110
3550028,126,15,109
3550029,1776,631,1105
3550030,110,102,7
3550031,193,147,40
3550032,836,348,468
3550033,187,142,37
3550034,199,139,56
3550035,373,331,34
3550036,443,316,122
3550037,628,486,125
3550038,247,220,22
3550039,264,153,106
3550040,2169,455,1643
3550041,179,143,28
3550042,263,84,174
3550043,226,190,35
3550044,319,276,38
3550045,169,137,28
3550046,93,74,15
3550047,128,104,20
3550048,711,378,311
3550049,591,169,407
3550050,254,142,104
3550051,744,444,267
3550052,382,296,77
3550053,318,237,76
3550054,645,520,121
3550055,509,402,100
3550056,376,283,81
3550057,330,223,96
3550058,764,352,384
3550059,821,377,403
3550060,369,314,50
3550061,298,272,21
3550062,293,232,54
3550063,1466,523,900
3550064,655,175,462
3550065,1903,632,1208
3550066,690,374,297
3550067,1681,630,996
3550068,429,286,134
3550069,877,558,295
3550070,1076,670,369
3550071,570,447,113
3550072,634,381,240
3550073,543,423,109
3550074,634,537,91
3550075,805,670,127
3550076,274,231,36
3550077,116,96,17
3550078,652,542,98
3550079,425,325,84
3550080,672,583,76
3550081,2197,459,1667
3550082,193,129,54
3550083,392,301,80
3550084,339,184,147
3550085,191,160,27
3550086,367,147,207
3550087,667,389,258
3550088,1230,573,631
3550089,283,154,117
3550090,413,206,187
3550091,1368,521,782
3550092A,1058,394,619
3550092B,48,18,28
3550093,959,724,218
3550094,929,447,456
3550095,328,231,93
3550096,339,231,98
3550097,450,351,84
3550098,774,682,79
3550099,237,194,38
3550100,499,254,231
3550101,1380,542,786
3550102,872,369,478
3550103,876,264,582
3550104,393,352,37
3550105,530,467,53
3550106,1224,586,601
3550107,2309,523,1733
3550108,228,177,48
3550109,284,136,141
3550110,639,233,386
3550111,453,187,255
3550112,1271,578,664
3550113,192,174,16
3550114,206,154,50
3550115,1024,390,588
3550116,1880,921,904
3550117,1610,390,1125
3550118,1231,729,479
3550119,1812,604,1161
3550120,982,426,525
3550121,789,411,359
3550122,1558,452,1060
3550123,1108,361,718
3550124,1494,669,777
3550125,1884,709,1128
3550126,785,293,473
3550127,668,132,517
3910001,216,117,97
3910002,515,130,379
3910003,424,114,299
3910004,220,173,43
391001A,268,170,95
391002A,116,20,95
391002B,187,64,118
391003A,404,120,275
391004A,193,103,82
391004B,96,42,53
4090101,259,116,140
4090103,224,46,174
4090106,667,277,371
4090107,116,39,74
4090108,2052,535,1444
4090109,1369,407,914
4090110,855,376,451
4090111,33,7,26
4090112,511,432,75
4090113,534,406,120
4090114,918,229,652
4090115,1781,456,1261
4090116,2352,452,1833
4090119,773,203,546
4090120,386,97,274
4090121,1099,346,725
4090123,52,19,32
4090125,24,12,12
4690001,248,140,92
4690002,511,191,272
4690003,640,208,371
4690004,541,348,162
4690005,1048,531,441
4690006,140,90,41
4690007,862,597,225
4690008,865,397,417
4690009,597,233,316
4690010,951,301,580
4690011,236,54,165
4690012,375,235,129
4690013,677,428,221
4690014,713,198,467
4690015,78,16,55
4690016,241,51,171
4690017,268,86,155
4690018,1950,414,1409
4690019,1435,535,790
4690020,774,156,559
4690021,2145,430,1438
4690022,1040,126,833
4690023,930,177,670
4690024,819,104,630
4690025,1899,548,1195
4690026,593,162,385
4690027,843,94,682
4690028,297,39,230
4690029,1790,383,1207
4690030,309,103,170
4690031,453,205,212
4690032,463,291,155
4690033,2711,446,1966
4690034,433,336,81
4690035,165,121,37
4810101A,576,213,355
4810101B,757,271,452
4810102,1462,316,1111
4810103,1017,263,731
4810201,1514,260,1217
4810202,558,411,136
4810203,1625,1025,568
4810301,1480,206,1244
4810302,1260,244,988
4810303,1223,189,1008
4810401,1199,575,603
4810402,660,223,418
4810403,385,161,208
550102,381,115,255
550104,244,79,157
550109,22,4,16
550110,65,35,28
550111,490,233,243
550112,0,0,0
