cntyvtd,total_votes,dem_votes,rep_votes
2610001,65,37,28
2610002,55,40,14
2610003,0,0,0
2610004,51,18,33
2610005,3,3,0
2610006,23,14,9
2730011,949,457,467
2730012,727,343,363
2730013,820,573,227
2730014,276,210,60
2730021,218,196,19
2730022,482,282,170
2730023,565,423,126
2730024,791,475,278
2730031,799,406,368
2730032,609,369,224
2730033,391,223,155
2730034,326,106,208
2730035,553,327,203
2730041,265,236,27
2730042,411,363,42
2730043,853,563,267
2730044,258,175,77
2730045,417,386,24
3550001,583,277,279
3550002,1357,676,607
3550003,2145,975,1081
3550004,1305,822,439
3550005,1034,394,596
3550006,1583,623,880
3550007,348,298,44
3550008,1642,823,748
3550009,1104,446,618
3550010,645,216,405
3550011,338,172,154
3550012,549,388,150
3550013,526,462,57
3550014,195,74,115
3550015,372,192,171
3550016,168,59,104
3550017,1391,837,491
3550018,1415,637,697
3550019,1937,738,1076
3550020,1289,906,350
3550021,232,84,130
3550022,195,113,81
3550023,1185,286,858
3550024,221,179,40
3550025,182,74,99
3550026,2157,827,1274
3550027,368,258,98
3550028,122,31,88
3550029,1911,817,1034
3550030,119,109,5
3550031,195,157,34
3550032,873,403,439
3550033,192,154,30
3550034,179,120,57
3550035,361,318,39
3550036,513,404,102
3550037,631,488,120
3550038,231,206,20
3550039,291,189,95
3550040,2204,571,1545
3550041,178,146,28
3550042,275,91,167
3550043,238,195,37
3550044,412,360,43
3550045,188,152,32
3550046,102,84,16
3550047,171,137,25
3550048,821,481,301
3550049,638,220,398
3550050,297,172,115
3550051,748,428,288
3550052,411,326,71
3550053,321,243,65
3550054,618,509,97
3550055,520,415,96
3550056,385,305,67
3550057,364,258,91
3550058,773,372,368
3550059,880,449,381
3550060,423,380,38
3550061,319,285,27
3550062,343,273,68
3550063,1543,564,896
3550064,679,216,439
3550065,2088,755,1220
3550066,732,420,287
3550067,1603,692,861
3550068,555,385,154
3550069,980,636,316
3550070,1214,802,373
3550071,682,532,135
3550072,738,486,228
3550073,618,476,126
3550074,703,604,81
3550075,934,792,127
3550076,279,248,30
3550077,129,113,12
3550078,730,587,127
3550079,524,409,100
3550080,669,571,81
3550081,2168,635,1429
3550082,236,175,46
3550083,450,357,80
3550084,402,256,130
3550085,193,160,29
3550086,403,172,203
3550087,769,462,272
3550088,1329,663,616
3550089,304,187,110
3550090,441,251,167
3550091,1595,699,827
3550092A,1141,444,651
3550092B,54,21,31
3550093,979,790,171
3550094,1082,581,470
3550095,359,267,82
3550096,391,277,99
3550097,483,378,96
3550098,888,797,73
3550099,239,196,40
3550100,608,317,271
3550101,1616,718,832
3550102,889,422,439
3550103,829,298,506
3550104,340,311,27
3550105,518,452,62
3550106,1355,675,637
3550107,2203,657,1486
3550108,206,156,48
3550109,327,156,153
3550110,700,303,366
3550111,438,176,245
3550112,1403,673,681
3550113,192,172,15
3550114,217,162,49
3550115,1106,472,601
3550116,1908,999,848
3550117,1763,585,1081
3550118,1374,879,451
3550119,1977,808,1098
3550120,1133,533,560
3550121,875,474,372
3550122,1580,585,905
3550123,1173,450,677
3550124,1554,764,737
3550125,1613,741,817
3550126,675,308,342
3550127,472,160,301
4090106,645,336,278
4090108,2026,676,1273
4090109,1499,509,921
4090110,190,70,110
4090113,586,490,86
4090114,963,345,575
4090115,1926,695,1148
4090116,2141,506,1551
4090119,794,252,507
4090120,407,114,264
4090121,1192,438,707
4890001,734,597,128
4890002A,2,2,0
4890002B,551,417,118
4890003,399,278,106
4890004,667,515,129
4890005,396,327,59
4890006,226,166,55
4890007,491,337,140
4890008,350,271,69
4890009,396,322,63
4890010,186,70,100
4890011,268,171,91
4890012,47,38,7
610001,916,498,378
610002,251,141,100
610003,846,629,192
610004,1156,712,397
610005,247,199,38
610006,580,490,70
610007,216,155,53
610008,178,150,20
610009,1082,863,179
610010,834,716,93
610011,834,676,127
610012,1046,718,277
610013,266,210,48
610014,730,566,134
610015,1059,744,265
610016,404,277,116
610017,1031,818,182
610018,957,754,179
610019,672,461,186
610020,639,386,230
610021,855,630,186
610022,862,681,161
610023,103,63,33
610024,388,320,60
610025,283,228,49
610026,1030,547,450
610029,100,49,49
610037,709,577,113
610038,408,238,153
610040,1029,737,256
610043,73,40,31
610044,0,0,0
610045,718,603,97
610046,1256,898,302
610047,485,332,123
610048,285,202,69
610049,374,234,123
610050,1704,1109,531
610051,321,245,64
610052,1255,470,710
610053,881,753,100
610054,1475,1082,336
610055,21,11,9
610057,279,168,104
610059,278,212,51
610060,383,297,67
610061,950,618,295
610062,1240,919,278
610063,679,460,194
610065,968,647,283
610066,1460,861,557
610067,1172,510,603
610068,708,531,150
610069,1310,1030,219
610070,473,397,62
610071,1197,974,177
610072,984,661,283
610073,1391,995,345
610074,1063,906,127
610075,834,656,147
610076,639,414,197
610077,891,777,97
610079,0,0,0
610081,561,417,129
610082,662,533,101
610083,505,290,187
610085,363,206,145
610086,336,264,59
610095,325,192,120
610096,705,536,138
610097,315,187,117
610098,1344,948,330
610099,147,83,60
610100,1310,969,292
610101,274,178,85
610102,451,343,90
610105,36,25,11
610106,898,604,255
610107,209,131,69
610108,0,0,0
610109,0,0,0
