cntyvtd,total_votes,dem_votes,rep_votes
2610001,69,36,30
2610002,43,32,11
2610003,5,4,1
2610004,37,6,30
2610005,26,20,4
2610006,25,18,7
2730011,514,209,284
2730012,452,173,255
2730013,449,280,151
2730014,165,104,54
2730021,112,95,14
2730022,325,175,129
2730023,336,210,105
2730024,456,226,200
2730031,446,176,247
2730032,294,143,144
2730033,342,179,149
2730034,289,76,192
2730035,315,145,152
2730041,109,89,18
2730042,190,160,26
2730043,455,241,195
2730044,136,72,54
2730045,198,180,14
3550001,351,133,203
3550002,762,296,420
3550003,1418,500,875
3550004,773,440,297
3550005,719,209,482
3550006,964,257,655
3550007,159,116,41
3550008,918,365,498
3550009,704,215,451
3550010,452,96,343
3550011,214,100,105
3550012,348,246,94
3550013,346,313,32
3550014,150,43,101
3550015,193,68,110
3550016,131,30,95
3550017,787,380,370
3550018,691,243,392
3550019,1361,370,903
3550020,670,428,211
3550021,156,58,84
3550022,127,62,64
3550023,879,165,681
3550024,108,82,21
3550025,117,44,63
3550026,1541,419,1084
3550027,240,166,65
3550028,97,21,74
3550029,1169,383,742
3550030,43,39,4
3550031,86,62,19
3550032,522,185,313
3550033,96,75,18
3550034,109,65,42
3550035,238,213,22
3550036,468,361,91
3550037,365,256,101
3550038,79,68,9
3550039,163,76,81
3550040,1587,298,1210
3550041,101,80,18
3550042,218,58,147
3550043,123,98,23
3550044,214,180,27
3550045,86,65,17
3550046,59,47,11
3550047,69,49,17
3550048,460,227,205
3550049,436,124,286
3550050,185,96,81
3550051,411,224,160
3550052,227,167,57
3550053,144,99,39
3550054,398,324,66
3550055,334,264,64
3550056,182,135,40
3550057,186,117,62
3550058,529,195,295
3550059,589,245,307
3550060,207,180,24
3550061,130,118,10
3550062,181,131,41
3550063,1165,352,749
3550064,508,139,354
3550065,1438,373,1000
3550066,411,185,201
3550067,993,327,620
3550068,254,157,77
3550069,526,283,220
3550070,592,338,221
3550071,329,237,84
3550072,413,239,151
3550073,307,225,68
3550074,365,306,50
3550075,446,359,74
3550076,131,113,13
3550077,53,45,7
3550078,352,295,51
3550079,276,206,65
3550080,310,275,31
3550081,1489,290,1141
3550082,105,63,39
3550083,203,153,43
3550084,222,118,98
3550085,111,90,19
3550086,282,100,168
3550087,405,214,167
3550088,784,308,448
3550089,159,83,62
3550090,244,111,123
3550091,885,296,533
3550092A,765,226,496
3550092B,34,10,22
3550093,476,331,124
3550094,598,251,327
3550095,183,124,55
3550096,196,125,62
3550097,220,156,59
3550098,447,388,49
3550099,134,103,27
3550100,340,157,163
3550101,963,347,553
3550102,719,336,357
3550103,564,167,369
3550104,209,193,13
3550105,319,281,32
3550106,887,375,460
3550107,1611,357,1198
3550108,131,100,30
3550109,212,91,107
3550110,389,111,243
3550111,296,102,186
3550112,967,366,555
3550113,91,81,9
3550114,99,76,18
3550115,682,230,422
3550116,1145,473,624
3550117,1062,261,719
3550118,759,416,308
3550119,1274,370,854
3550120,650,232,385
3550121,544,258,262
3550122,948,211,686
3550123,735,233,467
3550124,910,335,532
3550125,1015,333,631
3550126,427,140,267
3550127,353,79,257
4090106,352,131,204
4090108,1190,250,881
4090109,886,218,629
4090110,125,32,85
4090113,275,219,53
4090114,576,131,411
4090115,1218,278,879
4090116,1474,215,1201
4090119,536,116,396
4090120,286,55,228
4090121,680,160,484
4890001,407,313,88
4890002A,0,0,0
4890002B,316,227,79
4890003,165,80,80
4890004,276,179,88
4890005,193,156,36
4890006,150,94,53
4890007,256,148,94
4890008,199,149,43
4890009,157,108,45
4890010,199,51,139
4890011,157,87,65
4890012,17,14,3
610001,616,286,296
610002,190,73,110
610003,617,444,155
610004,704,339,313
610005,121,87,27
610006,255,213,27
610007,106,69,26
610008,73,62,6
610009,505,379,86
610010,301,241,45
610011,430,317,87
610012,603,343,206
610013,142,101,29
610014,363,253,87
610015,595,348,189
610016,219,97,57
610017,511,369,110
610018,406,285,111
610019,351,208,128
610020,371,180,177
610021,365,233,117
610022,409,278,111
610023,53,23,27
610024,460,395,59
610025,119,82,34
610026,639,264,352
610029,61,16,37
610037,343,279,47
610038,288,138,126
610040,507,308,174
610043,54,23,31
610044,0,0,0
610045,308,251,45
610046,681,411,205
610047,288,168,93
610048,163,99,50
610049,217,111,85
610050,930,489,412
610051,131,106,22
610052,908,233,596
610053,367,299,58
610054,773,472,238
610055,12,5,7
610057,147,65,77
610059,175,130,40
610060,165,113,36
610061,564,286,229
610062,609,405,146
610063,427,251,137
610065,648,357,260
610066,965,453,442
610067,898,261,584
610068,364,227,108
610069,554,390,119
610070,229,189,29
610071,592,443,120
610072,549,301,197
610073,731,461,227
610074,658,529,101
610075,409,297,94
610076,398,205,156
610077,393,328,52
610079,0,0,0
610081,358,254,94
610082,299,216,69
610083,334,178,141
610085,196,79,111
610086,152,100,43
610095,211,97,97
610096,375,250,98
610097,221,107,96
610098,753,461,228
610099,108,42,63
610100,682,417,208
610101,157,77,66
610102,246,152,72
610105,19,10,8
610106,511,276,185
610107,123,63,49
610108,0,0,0
610109,0,0,0
