cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
3550093,476,124,331,26,70
3550094,598,327,251,55,42
3550095,183,55,124,30,68
3550096,196,62,125,32,64
3550097,220,59,156,27,71
3550098,447,49,388,11,87
3550099,134,27,103,20,77
3550100,340,163,157,48,46
3550101,963,553,347,57,36
3550102,719,357,336,50,47
3550103,564,369,167,65,30
3550104,209,13,193,6,92
3550105,319,32,281,10,88
3550106,887,460,375,52,42
3550107,1611,1198,357,74,22
3550108,131,30,100,23,76
3550109,212,107,91,50,43
3550110,389,243,111,62,29
3550111,296,186,102,63,34
3550112,967,555,366,57,38
3550113,91,9,81,10,89
3550114,99,18,76,18,77
3550115,682,422,230,62,34
3550116,1145,624,473,54,41
3550117,1062,719,261,68,25
3550118,759,308,416,41,55
3550119,1274,854,370,67,29
3550120,650,385,232,59,36
3550121,544,262,258,48,47
3550122,948,686,211,72,22
3550123,735,467,233,64,32
3550124,910,532,335,58,37
3550125,1015,631,333,62,33
3550126,427,267,140,63,33
3550127,353,257,79,73,22
4090106,352,204,131,58,37
4090108,1190,881,250,74,21
4090109,886,629,218,71,25
4090110,125,85,32,68,26
4090113,275,53,219,19,80
4090114,576,411,131,71,23
4090115,1218,879,278,72,23
4090116,1474,1201,215,81,15
4090119,536,396,116,74,22
4090120,286,228,55,80,19
4090121,680,484,160,71,24
4890001,407,88,313,22,77
4890002A,0,0,0,0,0
4890002B,316,79,227,25,72
4890003,165,80,80,48,48
4890004,276,88,179,32,65
4890005,193,36,156,19,81
4890006,150,53,94,35,63
4890007,256,94,148,37,58
4890008,199,43,149,22,75
4890009,157,45,108,29,69
4890010,199,139,51,70,26
4890011,157,65,87,41,55
4890012,17,3,14,18,82
610001,616,296,286,48,46
610002,190,110,73,58,38
610003,617,155,444,25,72
610004,704,313,339,44,48
610005,121,27,87,22,72
610006,255,27,213,11,84
610007,106,26,69,25,65
610008,73,6,62,8,85
610009,505,86,379,17,75
610010,301,45,241,15,80
610011,430,87,317,20,74
610012,603,206,343,34,57
610013,142,29,101,20,71
610014,363,87,253,24,70
610015,595,189,348,32,58
610016,219,57,97,26,44
610017,511,110,369,22,72
610018,406,111,285,27,70
610019,351,128,208,36,59
610020,371,177,180,48,49
610021,365,117,233,32,64
610022,409,111,278,27,68
610023,53,27,23,51,43
610024,460,59,395,13,86
610025,119,34,82,29,69
610026,639,352,264,55,41
610029,61,37,16,61,26
610037,343,47,279,14,81
610038,288,126,138,44,48
610040,507,174,308,34,61
610043,54,31,23,57,43
610044,0,0,0,0,0
610045,308,45,251,15,81
610046,681,205,411,30,60
610047,288,93,168,32,58
610048,163,50,99,31,61
610049,217,85,111,39,51
610050,930,412,489,44,53
610051,131,22,106,17,81
610052,908,596,233,66,26
610053,367,58,299,16,81
610054,773,238,472,31,61
610055,12,7,5,58,42
610057,147,77,65,52,44
610059,175,40,130,23,74
610060,165,36,113,22,68
610061,564,229,286,41,51
610062,609,146,405,24,67
610063,427,137,251,32,59
610065,648,260,357,40,55
610066,965,442,453,46,47
610067,898,584,261,65,29
610068,364,108,227,30,62
610069,554,119,390,21,70
610070,229,29,189,13,83
610071,592,120,443,20,75
610072,549,197,301,36,55
610073,731,227,461,31,63
610074,658,101,529,15,80
610075,409,94,297,23,73
610076,398,156,205,39,52
610077,393,52,328,13,83
610079,0,0,0,0,0
610081,358,94,254,26,71
610082,299,69,216,23,72
610083,334,141,178,42,53
610085,196,111,79,57,40
610086,152,43,100,28,66
610095,211,97,97,46,46
610096,375,98,250,26,67
610097,221,96,107,43,48
610098,753,228,461,30,61
610099,108,63,42,58,39
610100,682,208,417,30,61
610101,157,66,77,42,49
610102,246,72,152,29,62
610105,19,8,10,42,53
610106,511,185,276,36,54
610107,123,49,63,40,51
610108,0,0,0,0,0
610109,0,0,0,0,0
