cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
2610001,69,30,36,43,52
2610002,43,11,32,26,74
2610003,5,1,4,20,80
2610004,37,30,6,81,16
2610005,26,4,20,15,77
2610006,25,7,18,28,72
2730011,514,284,209,55,41
2730012,452,255,173,56,38
2730013,449,151,280,34,62
2730014,165,54,104,33,63
2730021,112,14,95,12,85
2730022,325,129,175,40,54
2730023,336,105,210,31,63
2730024,456,200,226,44,50
2730031,446,247,176,55,39
2730032,294,144,143,49,49
2730033,342,149,179,44,52
2730034,289,192,76,66,26
2730035,315,152,145,48,46
2730041,109,18,89,17,82
2730042,190,26,160,14,84
2730043,455,195,241,43,53
2730044,136,54,72,40,53
2730045,198,14,180,7,91
3550001,351,203,133,58,38
3550002,762,420,296,55,39
3550003,1418,875,500,62,35
3550004,773,297,440,38,57
3550005,719,482,209,67,29
3550006,964,655,257,68,27
3550007,159,41,116,26,73
3550008,918,498,365,54,40
3550009,704,451,215,64,31
3550010,452,343,96,76,21
3550011,214,105,100,49,47
3550012,348,94,246,27,71
3550013,346,32,313,9,90
3550014,150,101,43,67,29
3550015,193,110,68,57,35
3550016,131,95,30,73,23
3550017,787,370,380,47,48
3550018,691,392,243,57,35
3550019,1361,903,370,66,27
3550020,670,211,428,31,64
3550021,156,84,58,54,37
3550022,127,64,62,50,49
3550023,879,681,165,77,19
3550024,108,21,82,19,76
3550025,117,63,44,54,38
3550026,1541,1084,419,70,27
3550027,240,65,166,27,69
3550028,97,74,21,76,22
3550029,1169,742,383,63,33
3550030,43,4,39,9,91
3550031,86,19,62,22,72
3550032,522,313,185,60,35
3550033,96,18,75,19,78
3550034,109,42,65,39,60
3550035,238,22,213,9,89
3550036,468,91,361,19,77
3550037,365,101,256,28,70
3550038,79,9,68,11,86
3550039,163,81,76,50,47
3550040,1587,1210,298,76,19
3550041,101,18,80,18,79
3550042,218,147,58,67,27
3550043,123,23,98,19,80
3550044,214,27,180,13,84
3550045,86,17,65,20,76
3550046,59,11,47,19,80
3550047,69,17,49,25,71
3550048,460,205,227,45,49
3550049,436,286,124,66,28
3550050,185,81,96,44,52
3550051,411,160,224,39,55
3550052,227,57,167,25,74
3550053,144,39,99,27,69
3550054,398,66,324,17,81
3550055,334,64,264,19,79
3550056,182,40,135,22,74
3550057,186,62,117,33,63
3550058,529,295,195,56,37
3550059,589,307,245,52,42
3550060,207,24,180,12,87
3550061,130,10,118,8,91
3550062,181,41,131,23,72
3550063,1165,749,352,64,30
3550064,508,354,139,70,27
3550065,1438,1000,373,70,26
3550066,411,201,185,49,45
3550067,993,620,327,62,33
3550068,254,77,157,30,62
3550069,526,220,283,42,54
3550070,592,221,338,37,57
3550071,329,84,237,26,72
3550072,413,151,239,37,58
3550073,307,68,225,22,73
3550074,365,50,306,14,84
3550075,446,74,359,17,80
3550076,131,13,113,10,86
3550077,53,7,45,13,85
3550078,352,51,295,14,84
3550079,276,65,206,24,75
3550080,310,31,275,10,89
3550081,1489,1141,290,77,19
3550082,105,39,63,37,60
3550083,203,43,153,21,75
3550084,222,98,118,44,53
3550085,111,19,90,17,81
3550086,282,168,100,60,35
3550087,405,167,214,41,53
3550088,784,448,308,57,39
3550089,159,62,83,39,52
3550090,244,123,111,50,45
3550091,885,533,296,60,33
3550092A,765,496,226,65,30
3550092B,34,22,10,65,29
