cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
4890001,734,128,597,17,81
4890002A,2,0,2,0,100
4890002B,551,118,417,21,76
4890003,399,106,278,27,70
4890004,667,129,515,19,77
4890005,396,59,327,15,83
4890006,226,55,166,24,73
4890007,491,140,337,29,69
4890008,350,69,271,20,77
4890009,396,63,322,16,81
4890010,186,100,70,54,38
4890011,268,91,171,34,64
4890012,47,7,38,15,81
610001,916,378,498,41,54
610002,251,100,141,40,56
610003,846,192,629,23,74
610004,1156,397,712,34,62
610005,247,38,199,15,81
610006,580,70,490,12,84
610007,216,53,155,25,72
610008,178,20,150,11,84
610009,1082,179,863,17,80
610010,834,93,716,11,86
610011,834,127,676,15,81
610012,1046,277,718,26,69
610013,266,48,210,18,79
610014,730,134,566,18,78
610015,1059,265,744,25,70
610016,404,116,277,29,69
610017,1031,182,818,18,79
610018,957,179,754,19,79
610019,672,186,461,28,69
610020,639,230,386,36,60
610021,855,186,630,22,74
610022,862,161,681,19,79
610023,103,33,63,32,61
610024,388,60,320,15,82
610025,283,49,228,17,81
610026,1030,450,547,44,53
610029,100,49,49,49,49
610037,709,113,577,16,81
610038,408,153,238,37,58
610040,1029,256,737,25,72
610043,73,31,40,42,55
610044,0,0,0,0,0
610045,718,97,603,14,84
610046,1256,302,898,24,71
610047,485,123,332,25,68
610048,285,69,202,24,71
610049,374,123,234,33,63
610050,1704,531,1109,31,65
610051,321,64,245,20,76
610052,1255,710,470,57,37
610053,881,100,753,11,85
610054,1475,336,1082,23,73
610055,21,9,11,43,52
610057,279,104,168,37,60
610059,278,51,212,18,76
610060,383,67,297,17,78
610061,950,295,618,31,65
610062,1240,278,919,22,74
610063,679,194,460,29,68
610065,968,283,647,29,67
610066,1460,557,861,38,59
610067,1172,603,510,51,44
610068,708,150,531,21,75
610069,1310,219,1030,17,79
610070,473,62,397,13,84
610071,1197,177,974,15,81
610072,984,283,661,29,67
610073,1391,345,995,25,72
610074,1063,127,906,12,85
610075,834,147,656,18,79
610076,639,197,414,31,65
610077,891,97,777,11,87
610079,0,0,0,0,0
610081,561,129,417,23,74
610082,662,101,533,15,81
610083,505,187,290,37,57
610085,363,145,206,40,57
610086,336,59,264,18,79
610095,325,120,192,37,59
610096,705,138,536,20,76
610097,315,117,187,37,59
610098,1344,330,948,25,71
610099,147,60,83,41,56
610100,1310,292,969,22,74
610101,274,85,178,31,65
610102,451,90,343,20,76
610105,36,11,25,31,69
610106,898,255,604,28,67
610107,209,69,131,33,63
610108,0,0,0,0,0
610109,0,0,0,0,0
