cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
3550092A,716,404,293,56,41
3550092B,32,18,14,56,44
3550093,443,126,306,28,69
3550094,564,313,234,55,41
3550095,154,46,101,30,66
3550096,182,61,118,34,65
3550097,213,42,167,20,78
3550098,415,61,348,15,84
3550099,104,25,79,24,76
3550100,264,147,111,56,42
3550101,789,490,269,62,34
3550102,727,389,321,54,44
3550103,542,375,150,69,28
3550104,146,20,125,14,86
3550105,208,35,168,17,81
3550106,764,399,355,52,46
3550107,1459,1120,311,77,21
3550108,115,33,76,29,66
3550109,177,81,87,46,49
3550110,348,226,114,65,33
3550111,269,169,96,63,36
3550112,859,470,377,55,44
3550113,79,14,65,18,82
3550114,95,27,65,28,68
3550115,615,348,240,57,39
3550116,1152,593,530,51,46
3550117,1047,751,253,72,24
3550118,733,307,405,42,55
3550119,1172,775,373,66,32
3550120,612,358,235,58,38
3550121,471,251,205,53,44
3550122,1000,672,293,67,29
3550123,633,440,180,70,28
3550124,899,476,406,53,45
3550125,1216,744,452,61,37
3550126,505,308,189,61,37
3550127,511,391,107,77,21
3910001,173,80,92,46,53
3910002,415,310,98,75,24
3910003,308,191,107,62,35
3910004,147,33,113,22,77
391001A,190,90,98,47,52
391002A,96,74,17,77,18
391002B,171,100,64,58,37
391003A,300,222,72,74,24
391004A,135,75,58,56,43
391004B,77,50,26,65,34
4090101,145,92,51,63,35
4090103,160,135,21,84,13
4090106,436,261,161,60,37
4090107,72,59,11,82,15
4090108,1172,851,294,73,25
4090109,761,515,218,68,29
4090110,597,344,237,58,40
4090111,20,18,2,90,10
4090112,344,63,266,18,77
4090113,218,62,151,28,69
4090114,566,413,141,73,25
4090115,1152,872,244,76,21
4090116,1421,1096,295,77,21
4090119,472,346,110,73,23
4090120,254,192,59,76,23
4090121,595,423,151,71,25
4090123,29,19,9,66,31
4090125,10,9,1,90,10
4690001,132,55,75,42,57
4690002,376,226,138,60,37
4690003,427,288,121,67,28
4690004,241,102,130,42,54
4690005,602,339,238,56,40
4690006,67,26,35,39,52
4690007,474,150,317,32,67
4690008,477,307,162,64,34
4690009,322,209,103,65,32
4690010,555,405,139,73,25
4690011,145,122,22,84,15
4690012,150,82,68,55,45
4690013,324,150,169,46,52
4690014,427,317,103,74,24
4690015,46,40,6,87,13
4690016,154,121,30,79,19
4690017,146,107,35,73,24
4690018,1190,982,179,83,15
4690019,751,515,213,69,28
4690020,535,438,91,82,17
4690021,1422,1153,241,81,17
4690022,709,625,68,88,10
4690023,565,469,78,83,14
4690024,582,503,71,86,12
4690025,1155,863,269,75,23
4690026,352,282,63,80,18
4690027,526,480,36,91,7
4690028,172,145,21,84,12
4690029,1153,906,210,79,18
4690030,189,125,60,66,32
4690031,209,127,77,61,37
4690032,243,125,111,51,46
4690033,1904,1556,300,82,16
4690034,191,54,133,28,70
4690035,71,26,43,37,61
4810101A,336,233,100,69,30
4810101B,447,300,132,67,30
4810102,953,792,145,83,15
4810103,637,492,124,77,19
4810201,1176,996,144,85,12
4810202,248,84,160,34,65
4810203,791,347,427,44,54
4810301,935,847,83,91,9
4810302,770,664,95,86,12
4810303,752,678,59,90,8
4810401,615,372,234,60,38
4810402,376,295,73,78,19
4810403,208,142,61,68,29
550102,355,247,92,70,26
550104,247,161,76,65,31
550110,58,36,19,62,33
550111,439,237,188,54,43
550112,0,0,0,0,0
550113,0,0,0,0,0
550117,0,0,0,0,0
550201,421,267,142,63,34
550202,489,343,134,70,27
550203,438,297,124,68,28
550204,555,400,119,72,21
550205,148,108,35,73,24
550206,327,206,111,63,34
550305,167,105,57,63,34
550306,100,60,38,60,38
550307,0,0,0,0,0
550404,496,231,238,47,48
550405,449,249,176,55,39
550410,0,0,0,0,0
570001,69,19,44,28,64
570002,205,89,107,43,52
570003,14,3,10,21,71
570004,146,77,64,53,44
570005,82,63,19,77,23
570006,157,109,38,69,24
570007,169,76,88,45,52
570008,100,44,50,44,50
570009,17,5,10,29,59
570010,56,34,21,61,37
570011,125,86,36,69,29
570012,515,354,148,69,29
570013,6,6,0,100,0
570014,67,35,31,52,46
570015,59,32,25,54,42
570016,348,241,95,69,27
570017,308,200,102,65,33
570018,132,83,43,63,33
570019,216,177,37,82,17
570020,21,10,11,48,52
570021,50,39,8,78,16
570022,141,109,32,77,23
570023,90,71,16,79,18
570024,518,367,129,71,25
570025,448,388,53,87,12
70001,698,519,165,74,24
70002,1036,648,353,63,34
70003,1827,1389,391,76,21
70004,1525,1161,321,76,21
7001A,388,283,92,73,24
7004A,474,376,83,79,18
