cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
1770001,908,703,184,77,20
1770002,465,341,116,73,25
1770003,469,339,123,72,26
1770007,143,125,16,87,11
1770008,130,107,20,82,15
1770009,346,214,123,62,36
1770011,96,80,13,83,14
1770012,78,57,21,73,27
211003,2091,1260,734,60,35
212007,817,576,192,71,24
212008,398,257,124,65,31
213012,364,261,86,72,24
213013,583,365,186,63,32
213014,716,399,277,56,39
213015,704,349,316,50,45
213016,961,560,343,58,36
2390001,534,397,130,74,24
2390002,711,597,99,84,14
2390003,653,553,90,85,14
2390004,121,106,14,88,12
2390005,214,181,30,85,14
2390006,201,158,41,79,20
2390007,51,46,5,90,10
2390008,177,155,13,88,7
2390009,195,168,23,86,12
2850001,417,368,45,88,11
2850002,522,426,89,82,17
2850007,99,81,17,82,17
2850008,309,268,36,87,12
2850009,447,374,69,84,15
2850011,110,92,17,84,15
2850012,129,103,21,80,16
2850015,81,56,22,69,27
2850016,191,169,19,88,10
2850017,147,133,13,90,9
2850019,143,129,11,90,8
2850020,59,40,18,68,31
2850023,493,407,78,83,16
2850026,60,44,15,73,25
2850027,93,85,8,91,9
2850029,439,359,73,82,17
2850030,599,509,83,85,14
2850031,486,416,64,86,13
2850032,124,115,8,93,6
3210002,354,261,87,74,25
3210004,417,329,76,79,18
3210005,769,510,240,66,31
3210006,518,368,135,71,26
3210007,70,56,11,80,16
3210008,267,207,56,78,21
3210009,64,40,23,63,36
3210010,136,112,20,82,15
3210012,91,70,16,77,18
3210013,193,102,89,53,46
321001A,917,738,151,80,16
321001B,1060,765,273,72,26
321001C,318,107,210,34,66
321001D,318,173,136,54,43
321001E,400,228,166,57,41
321001F,218,144,72,66,33
321003A,498,306,179,61,36
321003B,257,206,47,80,18
3550001,325,181,137,56,42
3550002,772,405,348,52,45
3550003,1319,768,525,58,40
3550004,711,269,420,38,59
3550005,692,397,280,57,40
3550006,974,645,298,66,31
3550007,129,28,99,22,77
3550008,964,541,394,56,41
3550009,624,395,213,63,34
3550010,378,283,88,75,23
3550011,137,82,55,60,40
3550012,296,111,179,37,60
3550013,232,40,190,17,82
3550014,153,107,43,70,28
3550015,175,113,58,65,33
3550016,106,68,36,64,34
3550017,777,375,383,48,49
3550018,662,398,232,60,35
3550019,1302,871,387,67,30
3550020,616,214,381,35,62
3550021,147,94,48,64,33
3550022,124,72,51,58,41
3550023,755,599,145,79,19
3550024,117,43,72,37,62
3550025,101,77,18,76,18
3550026,1482,972,473,66,32
3550027,207,61,139,29,67
3550028,89,76,12,85,13
3550029,1133,679,414,60,37
3550030,33,8,25,24,76
3550031,84,21,60,25,71
3550032,540,303,218,56,40
3550033,105,33,66,31,63
3550034,80,31,47,39,59
3550035,167,23,137,14,82
3550036,427,134,290,31,68
3550037,291,79,207,27,71
3550038,93,12,79,13,85
3550039,157,73,81,46,52
3550040,1492,1118,327,75,22
3550041,66,21,44,32,67
3550042,211,130,76,62,36
3550043,111,18,90,16,81
3550044,146,28,114,19,78
3550045,72,11,59,15,82
3550046,37,9,27,24,73
3550047,45,14,31,31,69
3550048,417,182,217,44,52
3550049,346,248,86,72,25
3550050,154,64,88,42,57
3550051,386,155,209,40,54
3550052,190,35,148,18,78
3550053,159,42,111,26,70
3550054,350,75,266,21,76
3550055,289,58,230,20,80
3550056,161,54,103,34,64
3550057,173,57,108,33,62
3550058,548,281,247,51,45
3550059,551,267,265,48,48
3550060,156,16,138,10,88
3550061,111,7,103,6,93
3550062,151,34,114,23,75
3550063,1111,656,427,59,38
3550064,507,339,158,67,31
3550065,1335,851,438,64,33
3550066,393,176,203,45,52
3550067,1022,618,378,60,37
3550068,219,76,135,35,62
3550069,508,208,288,41,57
3550070,567,219,331,39,58
3550071,292,69,217,24,74
3550072,332,140,181,42,55
3550073,299,54,239,18,80
3550074,290,47,232,16,80
3550075,347,75,268,22,77
3550076,125,22,102,18,82
3550077,37,4,31,11,84
3550078,310,55,247,18,80
3550079,196,53,137,27,70
3550080,288,43,232,15,81
3550081,1416,1035,328,73,23
3550082,84,32,51,38,61
3550083,195,43,148,22,76
3550084,202,107,87,53,43
3550085,87,16,65,18,75
3550086,260,131,123,50,47
3550087,342,144,187,42,55
3550088,730,403,310,55,42
3550089,163,76,79,47,48
3550090,225,103,112,46,50
3550091,832,485,329,58,40
