GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48027021602,"Census Tract 216.02, Bell County, Texas",2139,405
48027021700,"Census Tract 217, Bell County, Texas",5513,577
48027021800,"Census Tract 218, Bell County, Texas",5887,1047
48027021901,"Census Tract 219.01, Bell County, Texas",2689,442
48027021903,"Census Tract 219.03, Bell County, Texas",5434,782
48027021904,"Census Tract 219.04, Bell County, Texas",6177,908
48027022000,"Census Tract 220, Bell County, Texas",5695,951
48027022101,"Census Tract 221.01, Bell County, Texas",3215,594
48027022103,"Census Tract 221.03, Bell County, Texas",3660,787
48027022104,"Census Tract 221.04, Bell County, Texas",3302,597
48027022105,"Census Tract 221.05, Bell County, Texas",1583,330
48027022200,"Census Tract 222, Bell County, Texas",2446,493
48027022300,"Census Tract 223, Bell County, Texas",3050,570
48027022401,"Census Tract 224.01, Bell County, Texas",3864,784
48027022402,"Census Tract 224.02, Bell County, Texas",2829,561
48027022403,"Census Tract 224.03, Bell County, Texas",3139,554
48027022404,"Census Tract 224.04, Bell County, Texas",4821,948
48027022405,"Census Tract 224.05, Bell County, Texas",1395,264
48027022501,"Census Tract 225.01, Bell County, Texas",2536,550
48027022502,"Census Tract 225.02, Bell County, Texas",6640,1245
48027022600,"Census Tract 226, Bell County, Texas",3123,910
48027022801,"Census Tract 228.01, Bell County, Texas",1946,481
48027022900,"Census Tract 229, Bell County, Texas",2821,744
48027023000,"Census Tract 230, Bell County, Texas",4985,903
48027023103,"Census Tract 231.03, Bell County, Texas",3319,660
48027023104,"Census Tract 231.04, Bell County, Texas",2439,489
48027023105,"Census Tract 231.05, Bell County, Texas",5563,1119
48027023106,"Census Tract 231.06, Bell County, Texas",6312,1296
48027023107,"Census Tract 231.07, Bell County, Texas",4781,912
48027023108,"Census Tract 231.08, Bell County, Texas",9128,1972
48027023201,"Census Tract 232.01, Bell County, Texas",1845,268
48027023202,"Census Tract 232.02, Bell County, Texas",3375,582
48027023203,"Census Tract 232.03, Bell County, Texas",1631,328
48027023204,"Census Tract 232.04, Bell County, Texas",3770,590
48027023300,"Census Tract 233, Bell County, Texas",5266,669
48027023402,"Census Tract 234.02, Bell County, Texas",3485,612
48027023403,"Census Tract 234.03, Bell County, Texas",4272,400
48027023404,"Census Tract 234.04, Bell County, Texas",2810,501
48027023500,"Census Tract 235, Bell County, Texas",1558,557
48027980001,"Census Tract 9800.01, Bell County, Texas",319,44
48027980002,"Census Tract 9800.02, Bell County, Texas",0,0
48027980003,"Census Tract 9800.03, Bell County, Texas",0,0
48029110100,"Census Tract 1101, Bexar County, Texas",3217,1757
48029110300,"Census Tract 1103, Bexar County, Texas",1929,1463
48029110500,"Census Tract 1105, Bexar County, Texas",1289,1156
48029110600,"Census Tract 1106, Bexar County, Texas",6751,4601
48029110700,"Census Tract 1107, Bexar County, Texas",1072,864
48029110800,"Census Tract 1108, Bexar County, Texas",1694,1169
48029110900,"Census Tract 1109, Bexar County, Texas",435,259
48029111000,"Census Tract 1110, Bexar County, Texas",1689,1250
48029120100,"Census Tract 1201, Bexar County, Texas",5584,808
48029120300,"Census Tract 1203, Bexar County, Texas",5428,823
48029120400,"Census Tract 1204, Bexar County, Texas",4375,585
48029120501,"Census Tract 1205.01, Bexar County, Texas",6203,2986
48029120502,"Census Tract 1205.02, Bexar County, Texas",3547,1905
48029120600,"Census Tract 1206, Bexar County, Texas",4738,1344
48029120701,"Census Tract 1207.01, Bexar County, Texas",4016,2159
48029120702,"Census Tract 1207.02, Bexar County, Texas",3873,778
48029120800,"Census Tract 1208, Bexar County, Texas",4899,773
48029120901,"Census Tract 1209.01, Bexar County, Texas",1632,558
48029120902,"Census Tract 1209.02, Bexar County, Texas",4977,1486
48029121000,"Census Tract 1210, Bexar County, Texas",5440,2287
48029121108,"Census Tract 1211.08, Bexar County, Texas",5813,1664
48029121110,"Census Tract 1211.10, Bexar County, Texas",3576,1323
48029121111,"Census Tract 1211.11, Bexar County, Texas",4796,2068
48029121112,"Census Tract 1211.12, Bexar County, Texas",3055,890
48029121115,"Census Tract 1211.15, Bexar County, Texas",4131,926
48029121116,"Census Tract 1211.16, Bexar County, Texas",3883,1145
