GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",11889,931,9547,770,2342,564
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",7927,685,6588,546,1339,534
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",7151,544,4521,431,2630,548
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5948,655,5357,668,591,253
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4375,500,3720,504,655,369
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",4511,352,3635,397,876,312
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",6152,847,2155,381,3997,817
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",6943,799,4069,708,2874,690
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3795,,3278,161,517,161
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",2194,334,1292,254,902,237
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",6163,757,2825,373,3338,579
1400000US48025950202,48025950202,"Census Tract 9502.02, Bee County, Texas",6023,747,2972,584,3051,583
1400000US48025950300,48025950300,"Census Tract 9503, Bee County, Texas",3782,497,1538,352,2244,384
1400000US48025950400,48025950400,"Census Tract 9504, Bee County, Texas",1402,307,556,233,846,189
1400000US48025950500,48025950500,"Census Tract 9505, Bee County, Texas",10249,782,4248,479,6001,642
1400000US48025950600,48025950600,"Census Tract 9506, Bee County, Texas",2083,555,693,252,1390,470
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6869,594,5891,582,978,314
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",5278,451,4913,477,365,177
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5420,431,4649,395,771,199
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",7084,625,5852,572,1232,375
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",3023,421,2482,414,541,205
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2571,367,2048,343,523,213
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",4008,413,2889,436,1119,271
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",2730,378,2220,305,510,285
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1152,203,847,174,305,115
