GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",12261,886,9870,769,2391,691
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",7833,764,6304,584,1529,611
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",8005,693,5162,653,2843,468
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5868,591,5337,526,531,307
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4946,565,3817,467,1129,502
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",3995,125,3181,317,814,292
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",6496,849,1936,424,4560,864
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",7293,938,3947,757,3346,713
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3706,,3336,103,370,103
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",2267,358,1446,316,821,208
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",7326,515,4160,384,3166,358
1400000US48025950202,48025950202,"Census Tract 9502.02, Bee County, Texas",5064,502,2218,331,2846,442
1400000US48025950300,48025950300,"Census Tract 9503, Bee County, Texas",4540,495,2036,410,2504,367
1400000US48025950400,48025950400,"Census Tract 9504, Bee County, Texas",2052,240,745,234,1307,213
1400000US48025950500,48025950500,"Census Tract 9505, Bee County, Texas",8369,655,2386,428,5983,569
1400000US48025950600,48025950600,"Census Tract 9506, Bee County, Texas",2465,319,1002,238,1463,268
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6831,450,5837,494,994,312
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",6601,632,5953,610,648,397
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5505,693,4600,661,905,217
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",9107,733,7183,719,1924,477
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",2554,464,2115,427,439,222
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2032,450,1548,417,484,232
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",3925,408,2874,329,1051,287
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",3006,409,2493,460,513,222
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1128,190,795,171,333,148
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",1903,371,883,193,1020,371
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",2931,501,1993,422,938,333
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",2197,454,1447,311,750,331
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4130,638,2648,459,1482,430
